cell_line_id,cell_line_name,drug_row,drug_col,synergy_loewe,drug_row_smiles,drug_col_smiles
ACH-000019,MCF7,THIOGUANINE,CYCLOPHOSPHAMIDE,-29.41,Nc1nc(=S)c2[nH]cnc2[nH]1,O=P1(N(CCCl)CCCl)NCCCO1
ACH-000019,MCF7,AXITINIB,CO-V,6.19,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,OCC1OC(n2cnc3c2NC=NC[C@H]3O)CC1O
ACH-000019,MCF7,1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE,NSC256439,-25.29,CCCCCOC(=O)Nc1nc(=O)n(C2OC(C)C(O)C2O)cc1F,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O
ACH-000019,MCF7,AXITINIB,TAMOXIFEN CITRATE,3.53,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
ACH-000019,MCF7,GEMZAR (LILLY),PROCARBAZINE HYDROCHLORIDE,-62.21,Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1,CNNCc1ccc(C(=O)NC(C)C)cc1
ACH-000019,MCF7,ACTINOMYCIN D,PROCARBAZINE HYDROCHLORIDE,-25.3,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,CNNCc1ccc(C(=O)NC(C)C)cc1
ACH-000019,MCF7,LENALIDOMIDE,CHEMBL277800,-16.74,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1F
ACH-000019,MCF7,PLICAMYCIN,1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE,-51.92,CO[C@H](C(=O)[C@@H](O)[C@@H](C)O)[C@@H]1Cc2cc3cc(O[C@H]4C[C@@H](O[C@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@H](O)[C@@H](C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]3C[C@](C)(O)[C@H](O)[C@@H](C)O3)[C@@H](O)[C@@H](C)O2)[C@H](O)[C@@H](C)O1,CCCCCOC(=O)Nc1nc(=O)n(C2OC(C)C(O)C2O)cc1F
ACH-000019,MCF7,THIOGUANINE,NSC 85998,-29.86,Nc1nc(=S)c2[nH]cnc2[nH]1,CN(N=O)C(=O)NC1C(O)OC(CO)C(O)C1O
ACH-000019,MCF7,DACARBAZINE,THIOGUANINE,-25.06,CN(C)/N=N/c1nc[nH]c1C(N)=O,Nc1nc(=S)c2[nH]cnc2[nH]1
ACH-000019,MCF7,TEMOZOLOMIDE,ANTIBIOTIC AD 32,-18.31,Cn1nnc2c(C(N)=O)ncn2c1=O,CCCCC(=O)OCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(OC)cccc1C3=O
ACH-000019,MCF7,TEMOZOLOMIDE,PACLITAXEL,-25.06,Cn1nnc2c(C(N)=O)ncn2c1=O,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
ACH-000019,MCF7,CABAZITAXEL,1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE,6.35,CO[C@H]1C(=O)[C@]2(C)[C@@H](OC)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C,CCCCCOC(=O)Nc1nc(=O)n(C2OC(C)C(O)C2O)cc1F
ACH-000019,MCF7,VANDETANIB,TEMOZOLOMIDE,-15.62,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,Cn1nnc2c(C(N)=O)ncn2c1=O
ACH-000019,MCF7,CABAZITAXEL,TEMOZOLOMIDE,-25.26,CO[C@H]1C(=O)[C@]2(C)[C@@H](OC)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C,Cn1nnc2c(C(N)=O)ncn2c1=O
ACH-000019,MCF7,EXEMESTANE,ACTINOMYCIN D,6.69,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O
ACH-000019,MCF7,EXEMESTANE,VINCRISTINE SULFATE,-27.67,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
ACH-000019,MCF7,VISMODEGIB,AXITINIB,2.62,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1
ACH-000019,MCF7,ALTRETAMINE,THIOGUANINE,-24.65,CN(C)c1nc(N(C)C)nc(N(C)C)n1,Nc1nc(=S)c2[nH]cnc2[nH]1
ACH-000019,MCF7,AXITINIB,AZACYTIDINE,-15.16,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
ACH-000019,MCF7,NSC141540,TEMOZOLOMIDE,-19.2,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,Cn1nnc2c(C(N)=O)ncn2c1=O
ACH-000019,MCF7,1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE,QUINACRINE HYDROCHLORIDE,-15.05,CCCCCOC(=O)Nc1nc(=O)n(C2OC(C)C(O)C2O)cc1F,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12
ACH-000019,MCF7,TEMOZOLOMIDE,TOPOTECAN HYDROCHLORIDE,-18.0,Cn1nnc2c(C(N)=O)ncn2c1=O,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1
ACH-000019,MCF7,CYTARABINE HYDROCHLORIDE,PROCARBAZINE HYDROCHLORIDE,-45.37,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,CNNCc1ccc(C(=O)NC(C)C)cc1
ACH-000019,MCF7,SN-38,AMIFOSTINE,-50.5,CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,NCCCNCCSP(=O)(O)O
ACH-000019,MCF7,THIOGUANINE,METHOXSALEN,-17.08,Nc1nc(=S)c2[nH]cnc2[nH]1,COc1c2occc2cc2ccc(=O)oc12
ACH-000019,MCF7,AXITINIB,DAUNORUBICIN HYDROCHLORIDE,-27.82,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
ACH-000019,MCF7,CHEMBL277800,PRALATREXATE,-18.07,Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1F,C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
ACH-000019,MCF7,1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE,BLEOMYCIN,-22.69,CCCCCOC(=O)Nc1nc(=O)n(C2OC(C)C(O)C2O)cc1F,Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)[C@@H](C)O)[C@@H](OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1cnc[nH]1
ACH-000019,MCF7,THIOGUANINE,THALIDOMIDE,-23.67,Nc1nc(=S)c2[nH]cnc2[nH]1,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
ACH-000019,MCF7,EXEMESTANE,MITOMYCINE,4.84,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12
ACH-000019,MCF7,VANDETANIB,CHEMBL277800,-28.0,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1F
ACH-000019,MCF7,DACARBAZINE,CHEMBL277800,-19.13,CN(C)/N=N/c1nc[nH]c1C(N)=O,Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1F
ACH-000019,MCF7,BENDAMUSTINE HYDROCHLORIDE,AMIFOSTINE,3.45,Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,NCCCNCCSP(=O)(O)O
ACH-000019,MCF7,THIOGUANINE,EMCYT (PHARMACIA),-29.58,Nc1nc(=S)c2[nH]cnc2[nH]1,C[C@]12CC[C@@H]3c4ccc(OC(=O)N(CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2OP(=O)(O)O
ACH-000019,MCF7,TENIPOSIDE,AMIFOSTINE,-31.37,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,NCCCNCCSP(=O)(O)O
ACH-000019,MCF7,AXITINIB,URACIL MUSTARD,7.18,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,O=c1[nH]cc(N(CCCl)CCCl)c(=O)[nH]1
ACH-000019,MCF7,DACARBAZINE,AMIFOSTINE,4.94,CN(C)/N=N/c1nc[nH]c1C(N)=O,NCCCNCCSP(=O)(O)O
ACH-000019,MCF7,1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE,NSC733504,2.2,CCCCCOC(=O)Nc1nc(=O)n(C2OC(C)C(O)C2O)cc1F,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
ACH-000019,MCF7,GEMZAR (LILLY),AMIFOSTINE,-27.55,Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1,NCCCNCCSP(=O)(O)O
ACH-000019,MCF7,EXEMESTANE,AMIFOSTINE,-42.32,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,NCCCNCCSP(=O)(O)O
ACH-000019,MCF7,AXITINIB,BENDAMUSTINE HYDROCHLORIDE,6.77,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21
ACH-000019,MCF7,EXEMESTANE,BORTEZOMIB,3.06,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
ACH-000019,MCF7,1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE,MITOMYCINE,-23.26,CCCCCOC(=O)Nc1nc(=O)n(C2OC(C)C(O)C2O)cc1F,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12
ACH-000019,MCF7,5-FLUORO-2\'-DEOXYURIDINE,TEMOZOLOMIDE,-24.93,O=C1NC(=O)N(C2CC(O)C(CO)O2)CC1F,Cn1nnc2c(C(N)=O)ncn2c1=O
ACH-000019,MCF7,THIOGUANINE,IFOSFAMIDE,-30.95,Nc1nc(=S)c2[nH]cnc2[nH]1,O=P1(NCCCl)OCCCN1CCCl
ACH-000019,MCF7,EXEMESTANE,IFOSFAMIDE,-26.02,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,O=P1(NCCCl)OCCCN1CCCl
ACH-000019,MCF7,1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE,IXABEPILONE,-18.27,CCCCCOC(=O)Nc1nc(=O)n(C2OC(C)C(O)C2O)cc1F,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1
ACH-000019,MCF7,NSC141540,AMIFOSTINE,-33.09,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,NCCCNCCSP(=O)(O)O
ACH-000019,MCF7,ELOXATIN (TN) (SANOFI SYNTHELAB),AMIFOSTINE,-34.33,N[C@@H]1CCCC[C@H]1N,NCCCNCCSP(=O)(O)O
ACH-000019,MCF7,AXITINIB,CARBOPLATIN,6.8,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,O=C([O-])C1(C(=O)[O-])CCC1
ACH-000019,MCF7,TEMOZOLOMIDE,IXABEPILONE,-20.41,Cn1nnc2c(C(N)=O)ncn2c1=O,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1
ACH-000019,MCF7,LOMUSTINE,AMIFOSTINE,-27.5,O=NN(CCCl)C(=O)NC1CCCCC1,NCCCNCCSP(=O)(O)O
ACH-000019,MCF7,CABAZITAXEL,AXITINIB,-20.08,CO[C@H]1C(=O)[C@]2(C)[C@@H](OC)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1
ACH-000019,MCF7,ABIRATERONE,AMIFOSTINE,-25.98,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,NCCCNCCSP(=O)(O)O
ACH-000019,MCF7,AMIFOSTINE,ADM HYDROCHLORIDE,-25.63,NCCCNCCSP(=O)(O)O,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
ACH-000019,MCF7,AMIFOSTINE,NSC256439,-23.62,NCCCNCCSP(=O)(O)O,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O
ACH-000019,MCF7,PLICAMYCIN,AMIFOSTINE,-52.09,CO[C@H](C(=O)[C@@H](O)[C@@H](C)O)[C@@H]1Cc2cc3cc(O[C@H]4C[C@@H](O[C@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@H](O)[C@@H](C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]3C[C@](C)(O)[C@H](O)[C@@H](C)O3)[C@@H](O)[C@@H](C)O2)[C@H](O)[C@@H](C)O1,NCCCNCCSP(=O)(O)O
ACH-000019,MCF7,ZOLINZA,AMIFOSTINE,-33.34,O=C(CCCCCCC(=O)Nc1ccccc1)NO,NCCCNCCSP(=O)(O)O
ACH-000019,MCF7,TEMOZOLOMIDE,IMATINIB,4.61,Cn1nnc2c(C(N)=O)ncn2c1=O,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
ACH-000019,MCF7,BLEOMYCIN,AMIFOSTINE,-22.85,Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)[C@@H](C)O)[C@@H](OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1cnc[nH]1,NCCCNCCSP(=O)(O)O
ACH-000019,MCF7,BUSULFAN,PROCARBAZINE HYDROCHLORIDE,6.21,CS(=O)(=O)OCCCCOS(C)(=O)=O,CNNCc1ccc(C(=O)NC(C)C)cc1
ACH-000019,MCF7,AXITINIB,ROMIDEPSIN,-45.21,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O
ACH-000019,MCF7,1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE,TRIETHYLENEMELAMINE,-16.31,CCCCCOC(=O)Nc1nc(=O)n(C2OC(C)C(O)C2O)cc1F,C1CN1c1nc(N2CC2)nc(N2CC2)n1
ACH-000019,MCF7,AXITINIB,ACTINOMYCIN D,19.37,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O
ACH-000019,MCF7,QUINACRINE HYDROCHLORIDE,AMIFOSTINE,-21.34,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,NCCCNCCSP(=O)(O)O
ACH-000019,MCF7,AXITINIB,MEGESTROL ACETATE,-15.63,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
ACH-000019,MCF7,VANDETANIB,EXEMESTANE,3.32,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12
ACH-000019,MCF7,1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE,BORTEZOMIB,-33.38,CCCCCOC(=O)Nc1nc(=O)n(C2OC(C)C(O)C2O)cc1F,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
ACH-000019,MCF7,MERCAPTOPURINE,AMIFOSTINE,-28.5,S=c1nc[nH]c2nc[nH]c12,NCCCNCCSP(=O)(O)O
ACH-000019,MCF7,1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE,ADM HYDROCHLORIDE,-24.67,CCCCCOC(=O)Nc1nc(=O)n(C2OC(C)C(O)C2O)cc1F,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
ACH-000019,MCF7,1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE,PACLITAXEL,-25.55,CCCCCOC(=O)Nc1nc(=O)n(C2OC(C)C(O)C2O)cc1F,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
ACH-000019,MCF7,CRIZOTINIB,AXITINIB,3.72,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1
ACH-000019,MCF7,ABIRATERONE,TEMOZOLOMIDE,-38.81,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,Cn1nnc2c(C(N)=O)ncn2c1=O
ACH-000019,MCF7,EXEMESTANE,CYCLOPHOSPHAMIDE,-24.78,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,O=P1(N(CCCl)CCCl)NCCCO1
